observation_frame,unscaled_time,frame_timing_timestamp,segment,"frame_interval_ms","cpu_frame_ms","gpu_frame_ms","cpu_render_thread_ms","gc_allocated_in_editor_frame_bytes","VSM.LayoutRemap_gpu_ms","VSM.Allocate_gpu_ms","VSM.InvalidateStatic_gpu_ms","VSM.ClearPhysicalPages_gpu_ms","VSM.StaticCasterCull_gpu_ms","VSM.DynamicCasterCull_gpu_ms","VSM.PageCull_gpu_ms","VSM.StaticRaster_gpu_ms","VSM.DynamicRaster_gpu_ms","VSM.UnityCompatibilityRaster_gpu_ms","VSM.FinalizePages_gpu_ms","VSM.ResetFeedback_gpu_ms","VSM.ResolveAndFeedback_gpu_ms",observed_camera_frame,observed_camera_serial,window_repaint_count,seconds_since_window_repaint
5452,58.790230598072561,1361260917767,1,18.568098545074463,25.1983,,3.2541,14551,0.001024,0.379392,,0.063232,0.240896,0,0.22272,0.008192,0.0384,,0.002048,,1.3823999999999999,5452,410,0,
5453,58.806355399659864,1361261169750,1,16.124801710247993,7.9313,5.509376,3.2875,14551,0.001024,0.382208,,0.063488,0.239872,0.000256,0.22169599999999998,0.007936,0.038144,,0.0025599999999999998,,1.160448,5453,411,0,
5454,58.827353798185939,1361261249063,1,20.9983978420496,17.056,4.83328,3.5623,14551,0.001024,0.38246399999999997,,0.063232,0.24012799999999998,0.000256,0.221184,0.006912,0.037632,,0.002048,,1.384704,5454,412,0,
5455,58.848032001133781,1361261419623,1,20.678203552961349,16.6158,5.303808,3.5242,14551,0.001024,0.38246399999999997,,0.063232,0.24012799999999998,0.000256,0.221184,0.006912,0.037632,,0.002048,,1.384704,5455,413,0,
5456,58.858228798185941,1361261585781,1,10.196796618402004,12.4471,5.466368,3.1764,14746,0.001024,0.37529599999999996,,0.06297599999999999,0.24703999999999998,0.000256,0.228352,0.008192,0.038911999999999995,,0.002048,,1.5682559999999999,5456,414,0,
5457,58.865467998866208,1361261710252,1,7.2392006404697895,19.1794,5.146624,4.1903,14551,0.001024,0.378112,,0.063232,0.244224,0,0.225792,0.008704,0.037632,,0.002048,,1.162752,5457,415,0,
5458,58.87232120181406,1361261902046,1,6.853202823549509,20.6683,5.45792,3.5671,14551,0.001024,0.378368,,0.062208,0.240384,0.000256,0.22272,0.008192,0.042752,,0.002048,,1.3890559999999998,5458,416,0,
5459,58.8786200042517,1361262108729,1,6.2988023273646832,7.646,5.681408,3.0268,14551,0.001024,0.37504,,0.061695999999999994,0.24371199999999998,0.000256,0.22527999999999998,0.0076799999999999993,0.039168,,0.002048,,1.179648,5459,417,0,
5460,58.890680201247164,1361262185189,1,12.060197070240974,7.0051,4.85376,3.1438,14753,0.001024,0.37504,,0.061695999999999994,0.24371199999999998,0.000256,0.22527999999999998,0.0076799999999999993,0.039168,,0.002048,,1.179648,5460,418,0,
5461,58.897901502267572,1361262255240,1,7.2213010862469673,6.3597,5.14816,3.1352,14551,0.000768,0.376064,,0.062208,0.242688,0,0.224512,0.011264,0.03968,,0.002048,,1.1852799999999999,5461,419,0,
5462,58.904806299603173,1361262318837,1,6.9047971628606319,5.8828,5.12128,3.529,14551,0.001024,0.39039999999999997,,0.063232,0.246272,0.000256,0.22860799999999998,0.0076799999999999993,0.039168,,0.002304,,1.164032,5462,420,0,
5463,58.912364299886619,1361262377665,1,7.558000274002552,13.2131,5.188352,3.0507,14551,0.001024,0.38118399999999997,,0.063488,0.248832,0,0.230144,0.007936,0.040959999999999996,,0.002304,,1.180928,5463,421,0,
5464,58.917853798185938,1361262509796,1,5.4894983768463135,7.3133,5.330432,2.9006,14551,0.001024,0.376064,,0.061952,0.23807999999999999,0,0.220416,0.005376,0.036095999999999996,,0.002304,,1.395456,5464,422,0,
5465,58.924981604308385,1361262582929,1,7.1278060786426067,5.4181,5.467648,3.2272,14603,0.001024,0.378368,,0.061952,0.24703999999999998,0.000256,0.22886399999999998,0.003328,0.041215999999999996,,0.002048,,1.4026239999999999,5465,423,0,
5466,58.945647101757366,1361262637110,1,20.665496587753296,7.5649,5.91872,2.7338,14551,0.001024,0.378112,,0.062464,0.247296,0,0.22886399999999998,0.003072,0.038144,,0.002304,,1.396736,5466,424,0,
5467,58.9575088010204,1361262712759,1,11.861699633300304,5.589,5.099008,3.1369,14551,0.001024,0.379648,,0.063488,0.243968,0,0.225536,0.010239999999999999,0.039424,,0.002304,,1.9614719999999999,5467,425,0,
5468,58.96885860260771,1361262768649,1,11.349801905453205,7.0288,5.888768,3.2607,14551,0.001024,0.37504,,0.06297599999999999,0.24473599999999998,0.000256,0.22630399999999998,0.0076799999999999993,0.038655999999999996,,0.002048,,1.70752,5468,426,0,
5469,58.991104804421767,1361262838937,1,22.246202453970909,26.1468,5.827328,3.5613,14753,0.001024,0.37888,,0.063744,0.248576,0,0.230144,0.011519999999999999,0.039168,,0.002304,,1.1635199999999999,5469,427,0,
