case_index,case_name,status,metric,observations,valid_samples,median,p95,min,max
0,"smrt4x8_b","completed_with_warnings","frame_interval_ms",441,441,8.6274938657879829,24.766396731138229,5.2275015041232109,68.2142972946167
0,"smrt4x8_b","completed_with_warnings","cpu_frame_ms",441,441,8.512,25.6028,4.6724,69.6708
0,"smrt4x8_b","completed_with_warnings","gpu_frame_ms",441,416,5.398272,5.982464,4.796416,6.419712
0,"smrt4x8_b","completed_with_warnings","cpu_render_thread_ms",441,441,3.3921,4.5453,2.4485,14.4661
0,"smrt4x8_b","completed_with_warnings","gc_allocated_in_editor_frame_bytes",441,441,14551,32122,14551,130746
0,"smrt4x8_b","completed_with_warnings","VSM.LayoutRemap_gpu_ms",441,441,0.001024,0.0012799999999999999,0.000768,0.0048639999999999994
0,"smrt4x8_b","completed_with_warnings","VSM.Allocate_gpu_ms",441,441,0.379648,0.472064,0.37248,0.48512
0,"smrt4x8_b","completed_with_warnings","VSM.InvalidateStatic_gpu_ms",441,0,,,,
0,"smrt4x8_b","completed_with_warnings","VSM.ClearPhysicalPages_gpu_ms",441,441,0.063232,0.064,0.061439999999999995,0.326656
0,"smrt4x8_b","completed_with_warnings","VSM.StaticCasterCull_gpu_ms",441,441,0.24345599999999998,0.252672,0.23449599999999998,0.611328
0,"smrt4x8_b","completed_with_warnings","VSM.DynamicCasterCull_gpu_ms",441,441,0,0.000256,0,0.000256
0,"smrt4x8_b","completed_with_warnings","VSM.PageCull_gpu_ms",441,441,0.22527999999999998,0.231424,0.21631999999999998,0.46182399999999996
0,"smrt4x8_b","completed_with_warnings","VSM.StaticRaster_gpu_ms",441,441,0.007936,0.010496,0.003072,0.19584
0,"smrt4x8_b","completed_with_warnings","VSM.DynamicRaster_gpu_ms",441,441,0.038911999999999995,0.040959999999999996,0.034304,0.04736
0,"smrt4x8_b","completed_with_warnings","VSM.UnityCompatibilityRaster_gpu_ms",441,0,,,,
0,"smrt4x8_b","completed_with_warnings","VSM.FinalizePages_gpu_ms",441,441,0.002048,0.0025599999999999998,0.001536,0.003328
0,"smrt4x8_b","completed_with_warnings","VSM.ResetFeedback_gpu_ms",441,0,,,,
0,"smrt4x8_b","completed_with_warnings","VSM.ResolveAndFeedback_gpu_ms",441,441,1.387008,1.8611199999999999,1.157888,2.3349759999999997
