observation_frame,unscaled_time,frame_timing_timestamp,segment,"frame_interval_ms","cpu_frame_ms","gpu_frame_ms","cpu_render_thread_ms","gc_allocated_in_editor_frame_bytes","VSM.LayoutRemap_gpu_ms","VSM.Allocate_gpu_ms","VSM.InvalidateStatic_gpu_ms","VSM.ClearPhysicalPages_gpu_ms","VSM.StaticCasterCull_gpu_ms","VSM.DynamicCasterCull_gpu_ms","VSM.PageCull_gpu_ms","VSM.StaticRaster_gpu_ms","VSM.DynamicRaster_gpu_ms","VSM.UnityCompatibilityRaster_gpu_ms","VSM.FinalizePages_gpu_ms","VSM.ResetFeedback_gpu_ms","VSM.ResolveAndFeedback_gpu_ms",observed_camera_frame,observed_camera_serial,window_repaint_count,seconds_since_window_repaint
2023,28.435284502551021,1360957638215,1,7.5469035655260086,6.3816,6.897408,2.0704,14551,0.001024,0.38783999999999996,,0.068096,0.24806399999999998,0.000256,0.22912,0.0038399999999999997,0.037888,,0.002304,,2.590208,2023,701,0,
2024,28.442237400793651,1360957702031,1,6.9528981111943722,7.9181,7.531776,1.8791,36970,0.001024,0.382976,,0.068096,0.24678399999999998,0,0.228352,0.0076799999999999993,0.040959999999999996,,0.002048,,2.360064,2024,702,0,
2025,28.449376098356009,1360957781212,1,7.1386974304914474,6.9952,6.93632,2.2741,40351,0.001024,0.385024,,0.068608,0.248832,0,0.22988799999999998,0.0076799999999999993,0.038655999999999996,,0.002048,,2.487808,2025,703,0,
2026,28.456003904478457,1360957851164,1,6.62780599668622,7.0769,7.100416,2.1711,26554,0.001024,0.38527999999999996,,0.068352,0.246272,0,0.227072,0.007424,0.037888,,0.002304,,2.582528,2026,704,0,
2027,28.463161203231291,1360957921933,1,7.1572987362742424,7.5398,6.620672,1.8699,26264,0.001024,0.389632,,0.068352,0.245504,0.000256,0.226816,0.007936,0.0384,,0.002304,,2.302208,2027,705,0,
2028,28.470335898526077,1360957997331,1,7.1746953763067722,7.0327,7.143936,2.3713,14551,0.001024,0.389376,,0.068096,0.246272,0.000256,0.227072,0.0076799999999999993,0.041984,,0.002048,,2.332672,2028,706,0,
2029,28.477636004818592,1360958067658,1,7.300106342881918,6.3067,7.144448,2.2834,14551,0.001024,0.388608,,0.068096,0.247808,0,0.22860799999999998,0.00896,0.041728,,0.002304,,2.479616,2029,707,0,
2030,28.48442689909297,1360958130725,1,6.7908940836787224,7.7823,7.285248,2.4199,14551,0.001024,0.388352,,0.068608,0.2752,0.000256,0.25651199999999996,0.007936,0.041471999999999995,,0.002304,,2.91968,2030,708,0,
2031,28.4917251984127,1360958208548,1,7.2982991114258766,7.5096,6.755072,1.9353,14551,0.001024,0.38707199999999997,,0.068352,0.240896,0,0.222208,0.0076799999999999993,0.038655999999999996,,0.002304,,2.0725759999999998,2031,709,0,
2032,28.498921704931973,1360958283644,1,7.1965064853429794,6.7395,7.280128,2.4112,14551,0.001024,0.38707199999999997,,0.073984,0.244992,0,0.226048,0.0038399999999999997,0.043264,,0.002304,,2.343936,2032,710,0,
