case_index,case_name,status,metric,observations,valid_samples,median,p95,min,max
0,"smrt8x4_a","completed_with_warnings","frame_interval_ms",704,704,7.090848172083497,7.72470235824585,6.1939978040754795,14.04610276222229
0,"smrt8x4_a","completed_with_warnings","cpu_frame_ms",704,704,7.05765,8.1781,4.7347,14.3928
0,"smrt8x4_a","completed_with_warnings","gpu_frame_ms",704,702,7.0348799999999994,7.638016,6.137856,8.130304
0,"smrt8x4_a","completed_with_warnings","cpu_render_thread_ms",704,704,2.0635000000000003,2.747,1.6991,8.3068
0,"smrt8x4_a","completed_with_warnings","gc_allocated_in_editor_frame_bytes",704,704,14551,21163,14551,173258
0,"smrt8x4_a","completed_with_warnings","VSM.LayoutRemap_gpu_ms",704,704,0.001024,0.0012799999999999999,0.001024,0.560896
0,"smrt8x4_a","completed_with_warnings","VSM.Allocate_gpu_ms",704,704,0.386816,0.480768,0.38144,0.48563199999999995
0,"smrt8x4_a","completed_with_warnings","VSM.InvalidateStatic_gpu_ms",704,0,,,,
0,"smrt8x4_a","completed_with_warnings","VSM.ClearPhysicalPages_gpu_ms",704,704,0.068352,0.07551999999999999,0.067583999999999991,0.498432
0,"smrt8x4_a","completed_with_warnings","VSM.StaticCasterCull_gpu_ms",704,704,0.247552,0.58163199999999993,0.23679999999999998,1.143552
0,"smrt8x4_a","completed_with_warnings","VSM.DynamicCasterCull_gpu_ms",704,704,0,0.000256,0,0.000256
0,"smrt8x4_a","completed_with_warnings","VSM.PageCull_gpu_ms",704,704,0.22784,0.419328,0.188416,1.12384
0,"smrt8x4_a","completed_with_warnings","VSM.StaticRaster_gpu_ms",704,704,0.0076799999999999993,0.010239999999999999,0.003328,0.45183999999999996
0,"smrt8x4_a","completed_with_warnings","VSM.DynamicRaster_gpu_ms",704,704,0.039424,0.042496,0.035072,0.67123199999999994
0,"smrt8x4_a","completed_with_warnings","VSM.UnityCompatibilityRaster_gpu_ms",704,0,,,,
0,"smrt8x4_a","completed_with_warnings","VSM.FinalizePages_gpu_ms",704,704,0.002304,0.002816,0.002048,0.025088
0,"smrt8x4_a","completed_with_warnings","VSM.ResetFeedback_gpu_ms",704,0,,,,
0,"smrt8x4_a","completed_with_warnings","VSM.ResolveAndFeedback_gpu_ms",704,704,2.4152319999999996,2.913792,2.068736,3.302912
