observation_frame,unscaled_time,frame_timing_timestamp,segment,"frame_interval_ms","cpu_frame_ms","gpu_frame_ms","cpu_render_thread_ms","gc_allocated_in_editor_frame_bytes","VSM.LayoutRemap_gpu_ms","VSM.Allocate_gpu_ms","VSM.InvalidateStatic_gpu_ms","VSM.ClearPhysicalPages_gpu_ms","VSM.StaticCasterCull_gpu_ms","VSM.DynamicCasterCull_gpu_ms","VSM.PageCull_gpu_ms","VSM.StaticRaster_gpu_ms","VSM.DynamicRaster_gpu_ms","VSM.UnityCompatibilityRaster_gpu_ms","VSM.FinalizePages_gpu_ms","VSM.ResetFeedback_gpu_ms","VSM.ResolveAndFeedback_gpu_ms",observed_camera_frame,observed_camera_serial,window_repaint_count,seconds_since_window_repaint
7002,79.032300800736962,1361463338503,1,20.820599049329758,13.4715,6.09408,3.5862,14551,0.000768,0.37888,,0.063232,0.239616,0.000256,0.222208,0.007936,0.040704,,0.002048,,2.1439999999999997,7002,388,0,
7003,79.061640504535148,1361463473218,1,29.339704662561417,17.0929,5.405184,3.6736,14805,0.001024,0.37785599999999997,,0.063232,0.236288,0,0.21836799999999998,0.0076799999999999993,0.042752,,0.0025599999999999998,,1.78432,7003,389,0,
7004,79.087452898242631,1361463644147,1,25.812393054366112,9.8942,6.060032,3.7801,14551,0.001024,0.38195199999999996,,0.063232,0.24473599999999998,0,0.227072,0.0076799999999999993,0.041728,,0.002304,,1.7786879999999998,7004,390,0,
7005,79.112773802437644,1361463743089,1,25.320904329419136,39.6469,5.491456,3.9625,14746,0.001024,0.379648,,0.062464,0.23807999999999999,0,0.222208,0.0076799999999999993,0.037888,,0.001536,,1.3959679999999999,7005,391,0,
7006,79.142321499433109,1361464139558,1,29.547696933150291,15.2944,,4.9597,14922,0.001024,0.382208,,0.063488,0.24678399999999998,0,0.22912,0.008192,0.040192,,0.002304,,1.811456,7006,392,0,
7007,79.162845103458054,1361464292502,1,20.52360400557518,33.5606,5.407232,3.588,14898,0.0012799999999999999,0.377088,,0.061952,0.238336,0.000256,0.22067199999999998,0.003584,0.041984,,0.002048,,1.389568,7007,393,0,
7008,79.176364604591839,1361464628108,1,13.519501313567162,24.1459,5.393408,3.6772,14551,0.001024,0.475904,,0.062464,0.240896,0,0.223488,0.008192,0.040192,,0.002304,,1.3841919999999999,7008,394,0,
7009,79.219989498299313,1361464869567,1,43.624892830848694,27.4811,5.56544,4.7323,14551,0.001024,0.37862399999999996,,0.062464,0.239872,0,0.22272,0.0084479999999999989,0.037632,,0.002048,,1.387008,7009,395,0,
7010,79.238228202947838,1361465144378,1,18.238704651594162,14.9561,,3.8042,14551,0.001024,0.37862399999999996,,0.062464,0.239872,0,0.22272,0.0084479999999999989,0.037632,,0.002048,,1.387008,7010,396,0,
7011,79.248964604591833,1361465293939,1,10.736401192843914,36.036,5.918464,4.1389,14551,0.001024,0.38118399999999997,,0.061952,0.248576,0,0.22988799999999998,0.007424,0.038655999999999996,,0.002304,,1.387008,7011,397,0,
7012,79.260272101757366,1361465654299,1,11.307497508823872,25.351,5.418752,3.9324,16873,0.001024,0.38118399999999997,,0.061952,0.248576,0,0.22988799999999998,0.007424,0.038655999999999996,,0.002304,,1.387008,7012,398,0,
7013,79.274018204365078,1361465907809,1,13.746102340519428,11.4762,6.03904,3.5472,14798,0.001024,0.379136,,0.063232,0.244224,0,0.22630399999999998,0.0076799999999999993,0.039168,,0.002048,,1.903872,7013,399,0,
7014,79.290991404478461,1361466022571,1,16.97319932281971,9.7896,,5.5377,14551,0.001024,0.379136,,0.063232,0.244224,0,0.22630399999999998,0.0076799999999999993,0.039168,,0.002048,,1.903872,7014,400,0,
7015,79.300357298752829,1361466120467,1,9.36589390039444,15.0804,6.020352,4.4528,14551,0.001024,0.379648,,0.062464,0.24601599999999998,0,0.22886399999999998,0.0076799999999999993,0.039936,,0.001792,,1.833472,7015,401,0,
7016,79.31004620181406,1361466271271,1,9.6889026463031769,16.5925,6.081536,3.2778,14551,0.001024,0.47769599999999995,,0.063488,0.23807999999999999,0,0.22092799999999999,0.003584,0.038144,,0.0025599999999999998,,2.20544,7016,402,0,
7017,79.315532801870745,1361466437196,1,5.48660010099411,9.9324,5.52448,3.3835,14551,0.001024,0.38144,,0.061952,0.240384,0.000256,0.22297599999999998,0.007936,0.038655999999999996,,0.002048,,1.6115199999999998,7017,403,0,
