case_index,case_name,status,metric,observations,valid_samples,median,p95,min,max
0,"smrt8x4_b","completed_with_warnings","frame_interval_ms",395,395,9.002302773296833,31.819704920053482,5.48660010099411,71.574300527572632
0,"smrt8x4_b","completed_with_warnings","cpu_frame_ms",395,395,9.0796,35.9788,5.2607,91.3014
0,"smrt8x4_b","completed_with_warnings","gpu_frame_ms",395,373,5.693696,6.270464,5.089536,6.61376
0,"smrt8x4_b","completed_with_warnings","cpu_render_thread_ms",395,395,3.4092,4.4406,2.4777,6.485
0,"smrt8x4_b","completed_with_warnings","gc_allocated_in_editor_frame_bytes",395,395,14551,28936,14551,329919
0,"smrt8x4_b","completed_with_warnings","VSM.LayoutRemap_gpu_ms",395,395,0.001024,0.0012799999999999999,0.000768,0.0051199999999999996
0,"smrt8x4_b","completed_with_warnings","VSM.Allocate_gpu_ms",395,395,0.38246399999999997,0.473856,0.37504,0.491008
0,"smrt8x4_b","completed_with_warnings","VSM.InvalidateStatic_gpu_ms",395,0,,,,
0,"smrt8x4_b","completed_with_warnings","VSM.ClearPhysicalPages_gpu_ms",395,395,0.063232,0.064,0.061183999999999995,0.257536
0,"smrt8x4_b","completed_with_warnings","VSM.StaticCasterCull_gpu_ms",395,395,0.241664,0.24806399999999998,0.230656,0.606464
0,"smrt8x4_b","completed_with_warnings","VSM.DynamicCasterCull_gpu_ms",395,395,0,0.000256,0,0.000256
0,"smrt8x4_b","completed_with_warnings","VSM.PageCull_gpu_ms",395,395,0.22425599999999998,0.229632,0.214272,0.23091199999999998
0,"smrt8x4_b","completed_with_warnings","VSM.StaticRaster_gpu_ms",395,395,0.0076799999999999993,0.00896,0.003072,0.012544
0,"smrt8x4_b","completed_with_warnings","VSM.DynamicRaster_gpu_ms",395,395,0.039424,0.041728,0.033535999999999996,0.0448
0,"smrt8x4_b","completed_with_warnings","VSM.UnityCompatibilityRaster_gpu_ms",395,0,,,,
0,"smrt8x4_b","completed_with_warnings","VSM.FinalizePages_gpu_ms",395,395,0.002048,0.0025599999999999998,0.001536,0.003072
0,"smrt8x4_b","completed_with_warnings","VSM.ResetFeedback_gpu_ms",395,0,,,,
0,"smrt8x4_b","completed_with_warnings","VSM.ResolveAndFeedback_gpu_ms",395,395,1.6163839999999998,2.067456,1.3826559999999999,2.538496
