case_index,case_name,status,metric,observations,valid_samples,median,p95,min,max
0,"smrt8x8_a","completed_with_warnings","frame_interval_ms",475,475,7.4072987772524357,25.366801768541336,5.1536988466978073,77.008605003356934
0,"smrt8x8_a","completed_with_warnings","cpu_frame_ms",475,475,7.5129,25.2625,4.5859,81.7041
0,"smrt8x8_a","completed_with_warnings","gpu_frame_ms",475,454,5.930752,6.597888,5.311232,7.141376
0,"smrt8x8_a","completed_with_warnings","cpu_render_thread_ms",475,475,3.166,4.3555,2.0777,12.7412
0,"smrt8x8_a","completed_with_warnings","gc_allocated_in_editor_frame_bytes",475,475,14551,32932,14551,231244
0,"smrt8x8_a","completed_with_warnings","VSM.LayoutRemap_gpu_ms",475,475,0.001024,0.0012799999999999999,0,0.005888
0,"smrt8x8_a","completed_with_warnings","VSM.Allocate_gpu_ms",475,475,0.37196799999999997,0.437504,0.039168,0.454144
0,"smrt8x8_a","completed_with_warnings","VSM.InvalidateStatic_gpu_ms",475,0,,,,
0,"smrt8x8_a","completed_with_warnings","VSM.ClearPhysicalPages_gpu_ms",475,475,0.063744,0.070144,0.061439999999999995,1.687808
0,"smrt8x8_a","completed_with_warnings","VSM.StaticCasterCull_gpu_ms",475,475,0.245504,0.254976,0.14668799999999999,0.627968
0,"smrt8x8_a","completed_with_warnings","VSM.DynamicCasterCull_gpu_ms",475,475,0,0.000256,0,0.018432
0,"smrt8x8_a","completed_with_warnings","VSM.PageCull_gpu_ms",475,475,0.227072,0.235264,0.124928,0.60927999999999993
0,"smrt8x8_a","completed_with_warnings","VSM.StaticRaster_gpu_ms",475,475,0.0076799999999999993,0.011007999999999999,0.003072,0.37376
0,"smrt8x8_a","completed_with_warnings","VSM.DynamicRaster_gpu_ms",475,475,0.038911999999999995,0.041728,0.000256,0.044031999999999995
0,"smrt8x8_a","completed_with_warnings","VSM.UnityCompatibilityRaster_gpu_ms",475,0,,,,
0,"smrt8x8_a","completed_with_warnings","VSM.FinalizePages_gpu_ms",475,475,0.002304,0.0025599999999999998,0.001536,0.068096
0,"smrt8x8_a","completed_with_warnings","VSM.ResetFeedback_gpu_ms",475,0,,,,
0,"smrt8x8_a","completed_with_warnings","VSM.ResolveAndFeedback_gpu_ms",475,475,1.4612479999999999,1.843712,0.0076799999999999993,2.16192
