observation_frame,unscaled_time,frame_timing_timestamp,segment,"frame_interval_ms","cpu_frame_ms","gpu_frame_ms","cpu_render_thread_ms","gc_allocated_in_editor_frame_bytes","VSM.LayoutRemap_gpu_ms","VSM.Allocate_gpu_ms","VSM.InvalidateStatic_gpu_ms","VSM.ClearPhysicalPages_gpu_ms","VSM.StaticCasterCull_gpu_ms","VSM.DynamicCasterCull_gpu_ms","VSM.PageCull_gpu_ms","VSM.StaticRaster_gpu_ms","VSM.DynamicRaster_gpu_ms","VSM.UnityCompatibilityRaster_gpu_ms","VSM.FinalizePages_gpu_ms","VSM.ResetFeedback_gpu_ms","VSM.ResolveAndFeedback_gpu_ms",observed_camera_frame,observed_camera_serial,window_repaint_count,seconds_since_window_repaint
6256,68.901909403344675,1361362090616,1,11.358701623976231,6.6661,6.988288,4.1231,14551,0.001024,0.36607999999999996,,0.063232,0.24345599999999998,0,0.22527999999999998,0.0076799999999999993,0.041471999999999995,,0.002304,,1.580288,6256,363,0,
6257,68.909251899092965,1361362157277,1,7.3424959555268288,27.6763,5.916928,3.6365,14753,0.001024,0.37324799999999997,,0.063744,0.247296,0,0.22886399999999998,0.008192,0.0384,,0.002048,,1.60768,6257,364,0,
6258,68.923000800736958,1361362434040,1,13.748901896178722,11.0466,6.493696,3.3311,20335,0.001024,0.369664,,0.063232,0.24115199999999998,0,0.22272,0.003584,0.040704,,0.002048,,1.816576,6258,365,0,
6259,68.932720103458053,1361362544506,1,9.7193028777837753,8.0998,7.22944,3.4017,14551,0.001024,0.365568,,0.063744,0.23910399999999998,0,0.221184,0.007936,0.039424,,0.002816,,2.809088,6259,366,0,
6260,68.951529698129249,1361362625504,1,18.809594213962555,6.5199,6.339584,3.6452,40295,0.001024,0.435712,,0.063488,0.423168,0,0.21631999999999998,0.0097279999999999988,0.037632,,0.002048,,1.5833599999999999,6260,367,0,
6261,68.980550503117911,1361362690703,1,29.020804911851883,16.5907,6.563072,3.2823,14746,0.001024,0.435712,,0.063488,0.423168,0,0.21631999999999998,0.0097279999999999988,0.037632,,0.002048,,1.5833599999999999,6261,368,0,
6262,68.987848504818587,1361362856610,1,7.298001553863287,7.0131,6.116608,3.745,14551,0.001024,0.37068799999999996,,0.06297599999999999,0.238336,0.000256,0.220416,0.0076799999999999993,0.0384,,0.002048,,1.5813119999999998,6262,369,0,
6263,69.005779804421763,1361362926741,1,17.931299284100533,40.2298,5.842688,3.6753,77760,0.001024,0.367104,,0.063488,0.240896,0,0.223488,0.0097279999999999988,0.036864,,0.002048,,1.7707519999999999,6263,370,0,
6264,69.040596499433107,1361363329039,1,34.816693514585495,8.1945,6.565888,3.2529,14603,0.001024,0.367104,,0.063488,0.240896,0,0.223488,0.0097279999999999988,0.036864,,0.002048,,1.7707519999999999,6264,371,0,
6265,69.048313300736964,1361363410984,1,7.7168014831840992,15.3827,5.874944,9.2043,14551,0.001024,0.372992,,0.064512,0.24575999999999998,0.000256,0.227328,0.007936,0.037888,,0.002048,,1.583872,6265,372,0,
6266,69.060729804421769,1361363564811,1,12.416503392159939,35.6733,6.111488,3.7308,14551,0.0012799999999999999,0.366848,,0.06272,0.2432,0,0.22655999999999998,0.0076799999999999993,0.039424,,0.002048,,2.2333439999999998,6266,373,0,
