case_index,case_name,status,metric,observations,valid_samples,median,p95,min,max
0,"smrt8x8_b","completed_with_warnings","frame_interval_ms",358,358,10.459353681653738,34.816693514585495,5.4833050817251205,100.52309930324554
0,"smrt8x8_b","completed_with_warnings","cpu_frame_ms",358,358,9.98965,35.6733,4.9679,93.2574
0,"smrt8x8_b","completed_with_warnings","gpu_frame_ms",358,326,6.3719680000000007,6.997248,5.664,8.108032
0,"smrt8x8_b","completed_with_warnings","cpu_render_thread_ms",358,358,3.5206,4.3065,2.4976,9.2043
0,"smrt8x8_b","completed_with_warnings","gc_allocated_in_editor_frame_bytes",358,358,14551,44699,14551,130798
0,"smrt8x8_b","completed_with_warnings","VSM.LayoutRemap_gpu_ms",358,358,0.001024,0.0012799999999999999,0.000768,0.379392
0,"smrt8x8_b","completed_with_warnings","VSM.Allocate_gpu_ms",358,358,0.368384,0.434944,0.363008,0.441088
0,"smrt8x8_b","completed_with_warnings","VSM.InvalidateStatic_gpu_ms",358,0,,,,
0,"smrt8x8_b","completed_with_warnings","VSM.ClearPhysicalPages_gpu_ms",358,358,0.063232,0.064512,0.061439999999999995,0.363776
0,"smrt8x8_b","completed_with_warnings","VSM.StaticCasterCull_gpu_ms",358,358,0.2432,0.249856,0.23296,0.784384
0,"smrt8x8_b","completed_with_warnings","VSM.DynamicCasterCull_gpu_ms",358,358,0,0.000256,0,0.000256
0,"smrt8x8_b","completed_with_warnings","VSM.PageCull_gpu_ms",358,358,0.22527999999999998,0.231424,0.21606399999999998,0.6208
0,"smrt8x8_b","completed_with_warnings","VSM.StaticRaster_gpu_ms",358,358,0.0076799999999999993,0.010239999999999999,0.003072,0.012032
0,"smrt8x8_b","completed_with_warnings","VSM.DynamicRaster_gpu_ms",358,358,0.039424,0.041984,0.029183999999999998,0.043519999999999996
0,"smrt8x8_b","completed_with_warnings","VSM.UnityCompatibilityRaster_gpu_ms",358,0,,,,
0,"smrt8x8_b","completed_with_warnings","VSM.FinalizePages_gpu_ms",358,358,0.002048,0.0025599999999999998,0.001792,0.0038399999999999997
0,"smrt8x8_b","completed_with_warnings","VSM.ResetFeedback_gpu_ms",358,0,,,,
0,"smrt8x8_b","completed_with_warnings","VSM.ResolveAndFeedback_gpu_ms",358,358,1.8266879999999999,2.2630399999999997,1.573632,2.809088
